TimeGenerated	EventID	Source	Type	Category	Message
Sun Apr  6 01:20:27 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sun Apr  6 00:35:16 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sun Apr  6 00:35:16 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sun Apr  6 00:35:15 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sun Apr  6 00:35:15 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sun Apr  6 00:35:14 2025	1	Microsoft-Windows-Kernel-General	4	5	Possible detection of CVE: 2025-04-05T19:05:14.7807041Z
Additional Information: 2025-04-05T19:05:14.7801930Z

This Event is generated when an attempt to exploit a known vulnerability (2025-04-05T19:05:14.7807041Z) is detected.
This Event is raised by a User mode process.

Sun Apr  6 00:35:14 2025	24	Microsoft-Windows-Kernel-General	4	11	
Sun Apr  6 00:35:14 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sun Apr  6 00:35:14 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sun Apr  6 00:35:14 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sun Apr  6 00:35:14 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sun Apr  6 00:35:14 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sun Apr  6 00:23:32 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Sun Apr  6 00:20:43 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Sun Apr  6 00:19:43 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sun Apr  6 00:19:43 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sun Apr  6 00:19:43 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sun Apr  6 00:19:42 2025	5	Microsoft-Windows-IsolatedUserMode	4	0	Secure Trustlet NULL Id 0 and Pid 0 started with status 0.
Sun Apr  6 00:19:42 2025	2	Microsoft-Windows-IsolatedUserMode	4	0	Secure Trustlet Id 0 and Pid 0 stopped with status 0.
Sat Apr  5 23:37:24 2025	19	Microsoft-Windows-WindowsUpdateClient	4	1	Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.427.82.0) - Current Channel (Broad)
Sat Apr  5 23:37:18 2025	43	Microsoft-Windows-WindowsUpdateClient	4	1	Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.427.82.0) - Current Channel (Broad)
Sat Apr  5 23:37:17 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 23:24:50 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Sat Apr  5 23:22:34 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 23:21:28 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sat Apr  5 23:21:21 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sat Apr  5 23:21:17 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 23:21:17 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 23:21:07 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 23:21:07 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 23:20:44 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Sat Apr  5 23:20:21 2025	37	Microsoft-Windows-Time-Service	4	0	The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123).
Sat Apr  5 23:19:59 2025	1014	Microsoft-Windows-DNS-Client	2	1014	Name resolution for the name assets.msn.com timed out after none of the configured DNS servers responded. Client PID 9888.
Sat Apr  5 23:19:45 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 23:19:45 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 23:19:45 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 23:19:45 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 23:19:41 2025	18	BTHUSB	4	0	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Sat Apr  5 23:19:41 2025	134	Microsoft-Windows-Time-Service	2	0	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Sat Apr  5 23:19:41 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 23:19:41 2025	566	Microsoft-Windows-Kernel-Power	4	268	
